acme-docker.sh  |  acme docker 方式脚本
aliyunpan.sh  |  安装 aliyunpan
croc.sh  |  安装 croc
frp.sh  |  安装 frp
gitlab-runner.sh  |  安装 GitLab Runner
hugo.sh  |  安装 hugo
just.sh  |  安装 just 构建工具
m3u8-downloader.sh  |  安装 m3u8 下载器
nginx.sh  |  安装 Nginx
php-8.sh  |  安装 PHP 8
protoc.sh  |  安装 protobuf
redis.sh  |  安装 Redis
ttyd.sh  |  安装 ttyd
vsd.sh  |  安装 m3u8 下载器 （vsd）
wush.sh  |  安装 wush 网络穿透工具
zed.sh  |  安装 Zed 编辑器
